"","id","table","sb","sb_stack","bb","bb_stack","utg","utg_stack","p4","p4_stack","p5","p5_stack","d","d_stack"
"7950",3064894848,"DOVE AVE","8z33KASCGgAHVfxu6HD4UA",1163.5,"y/xXiv3wrsVNOi4N7qXbuQ",3268,"gOsVBKXNE2SWcyCH5T5sDg",2059,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1965,"6nDFsX2b9krMLnZS/ulE9A",1220
"7951",3064895462,"DOVE AVE","y/xXiv3wrsVNOi4N7qXbuQ",3273,"gOsVBKXNE2SWcyCH5T5sDg",2059,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1965,"6nDFsX2b9krMLnZS/ulE9A",1220,"8z33KASCGgAHVfxu6HD4UA",1158.5
"7952",3064886894,"DELTA DR","y/xXiv3wrsVNOi4N7qXbuQ",3817.5,"ZY9O2Uu8JFr2/I+nXQPmRQ",1619.5,"8z33KASCGgAHVfxu6HD4UA",1212,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3333.5,"uTAZ8SSSb+9UY4iT33HAPg",1160
"7953",3064897872,"DOVE AVE","gOsVBKXNE2SWcyCH5T5sDg",2049,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1965,"6nDFsX2b9krMLnZS/ulE9A",1238.5,"8z33KASCGgAHVfxu6HD4UA",1158.5,"y/xXiv3wrsVNOi4N7qXbuQ",3263
"7954",3064889948,"DELTA DR","ZY9O2Uu8JFr2/I+nXQPmRQ",1609.5,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1160,"y/xXiv3wrsVNOi4N7qXbuQ",3812.5
"7955",3064900520,"DOVE AVE","ZvUzSVOOKZwfU5rLMFTUFg",4930.5,"jzhKcsjzeM8Zaw5lPEYSig",1965,"6nDFsX2b9krMLnZS/ulE9A",1193.5,"8z33KASCGgAHVfxu6HD4UA",1158.5,"y/xXiv3wrsVNOi4N7qXbuQ",3320,"gOsVBKXNE2SWcyCH5T5sDg",2044
"7956",3064901532,"DOVE AVE","jzhKcsjzeM8Zaw5lPEYSig",1955,"6nDFsX2b9krMLnZS/ulE9A",1193.5,"8z33KASCGgAHVfxu6HD4UA",1158.5,"y/xXiv3wrsVNOi4N7qXbuQ",3335,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5
"7957",3064891386,"DELTA DR","8z33KASCGgAHVfxu6HD4UA",1264,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1160,"y/xXiv3wrsVNOi4N7qXbuQ",3812.5,"ZY9O2Uu8JFr2/I+nXQPmRQ",1604.5
"7958",3064902362,"DOVE AVE","6nDFsX2b9krMLnZS/ulE9A",1198.5,"8z33KASCGgAHVfxu6HD4UA",1158.5,"y/xXiv3wrsVNOi4N7qXbuQ",3335,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5,"jzhKcsjzeM8Zaw5lPEYSig",1950
"7959",3064884898,"ANN ARBOR","uTAZ8SSSb+9UY4iT33HAPg",1255,"jzhKcsjzeM8Zaw5lPEYSig",2000,"gOsVBKXNE2SWcyCH5T5sDg",1816,"ZvUzSVOOKZwfU5rLMFTUFg",4187.5,"y/xXiv3wrsVNOi4N7qXbuQ",7412,"VP8zRGrfIIYKQrIN+czl+w",1474
