"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"6085",3054736652,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"6086",3054741732,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6087",3054743642,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,0,0
"6088",3054748066,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6089",3054758158,4,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0
"6090",3054761380,4,0,0,1,0,1,2,0,1,1,0,0,0,1,0,1,1,0,0,0
"6091",3054765336,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6092",3054767258,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6093",3054768698,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"6094",3054771028,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6095",3054771422,4,0,0,1,0,1,2,0,1,1,0,0,0,1,0,1,2,0,0,0
"6096",3054773278,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6097",3054774914,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6098",3054777028,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6099",3054777076,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6100",3054778386,4,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
"6101",3054780008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6102",3054781708,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6103",3054782930,4,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1
"6104",3054783106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
